iter	MultiClass
0	1.044890696
1	0.999210528
2	0.9646064652
3	0.9387271072
4	0.9146110271
5	0.8954984205
6	0.8815173648
7	0.8725178814
8	0.8618383564
9	0.8557871747
10	0.8491445838
11	0.8426751241
12	0.8378011257
13	0.8343846286
14	0.830915283
15	0.8282351356
16	0.8267081861
17	0.824313677
18	0.8230068923
19	0.8219676628
20	0.8202111192
21	0.8194834508
22	0.8185253207
23	0.8174390247
24	0.8166354323
25	0.8157499544
26	0.8152282041
27	0.8145006141
28	0.8118900456
29	0.8111704647
30	0.8104367558
31	0.8097463024
32	0.8091239297
33	0.8074445431
34	0.8069367949
35	0.8059689196
36	0.8053815093
37	0.8046299878
38	0.8035768487
39	0.8030167185
40	0.8024966298
41	0.8019093863
42	0.801096013
43	0.8004885879
44	0.799942632
45	0.7994115743
46	0.7986324602
47	0.7981820306
48	0.7975671325
49	0.7968529131
50	0.7963092178
51	0.7959308718
52	0.7954370124
53	0.7949782555
54	0.7946534426
55	0.7942225177
56	0.7936377451
57	0.7932164655
58	0.7923869123
59	0.7917229304
60	0.7910854661
61	0.7903919569
62	0.7896649262
63	0.7889510496
64	0.7883317412
65	0.78796174
66	0.7872978779
67	0.7868411495
68	0.7862841559
69	0.7856658325
70	0.785275713
71	0.7846895377
72	0.7844353074
73	0.783732782
74	0.7828398373
75	0.7823907905
76	0.7818515173
77	0.7813716819
78	0.7809071147
79	0.7803856875
80	0.7796653435
81	0.7784171441
82	0.7780120526
83	0.7774792728
84	0.7770572677
85	0.7762920043
86	0.7755335176
87	0.7751126597
88	0.7743413918
89	0.7738431599
90	0.7731352465
91	0.7725899691
92	0.7720025732
93	0.7712978699
94	0.770987156
95	0.77058897
96	0.770192525
97	0.7699691371
98	0.7694894194
99	0.76916265
100	0.7684228666
101	0.7677219507
102	0.7673089158
103	0.7668474217
104	0.7661955129
105	0.7652983154
106	0.7648047565
107	0.7642448501
108	0.763807513
109	0.7633734257
110	0.762789607
111	0.7624699769
112	0.7619596769
113	0.7615261387
114	0.7609406368
115	0.760597093
116	0.7600211941
117	0.7597288979
118	0.7585388221
119	0.7581010145
120	0.7573532166
121	0.75675091
122	0.7564563657
123	0.7560291392
124	0.755581055
125	0.7550749569
126	0.7544775731
127	0.7539316688
128	0.753525767
129	0.7529702525
130	0.7523094149
131	0.7517886309
132	0.7510169733
133	0.7505725852
134	0.7499463583
135	0.749543458
136	0.7491341947
137	0.7486711055
138	0.7483187721
139	0.7477304827
140	0.7472636193
141	0.746845806
142	0.74653808
143	0.7458916315
144	0.745371036
145	0.7447829557
146	0.7443430214
147	0.7440786675
148	0.7435629474
149	0.743257535
150	0.7428598792
151	0.7425509677
152	0.7419700963
153	0.7415134759
154	0.7411733895
155	0.7406748951
156	0.7399578751
157	0.7394897548
158	0.7391221566
159	0.73849929
160	0.7380980675
161	0.737495753
162	0.7370722108
163	0.7367268994
164	0.7362479747
165	0.7357105908
166	0.7349985045
167	0.734555356
168	0.7341856056
169	0.7337851468
170	0.7334925994
171	0.7332269743
172	0.7327102245
173	0.7323566567
174	0.7319777581
175	0.7314932796
176	0.7312536115
177	0.7309952499
178	0.7305265114
179	0.7301005655
180	0.7296095599
181	0.7290828604
182	0.728581543
183	0.7283092925
184	0.7279178864
185	0.7276720893
186	0.7274558418
187	0.7269420664
188	0.7266087938
189	0.7262120304
190	0.7257999046
191	0.7253951909
192	0.7248401337
193	0.7244211905
194	0.7241799438
195	0.7237229317
196	0.7233209779
197	0.7227559335
198	0.7223011105
199	0.7217569009
200	0.7214849195
201	0.7211569042
202	0.7209704799
203	0.7206856032
204	0.720489765
205	0.7201976566
206	0.7199782461
207	0.719422025
208	0.7191780452
209	0.7188062404
210	0.7186335935
211	0.7183628831
212	0.7178653023
213	0.7175105646
214	0.7172757065
215	0.7166018303
216	0.7162283221
217	0.7159351993
218	0.7156172442
219	0.7152826895
220	0.7147863445
221	0.7144804573
222	0.714177485
223	0.7137177462
224	0.7133914379
225	0.7131442286
226	0.712671088
227	0.7123191678
228	0.7119380547
229	0.7116357746
230	0.7111852482
231	0.7109689741
232	0.7105997082
233	0.7103120672
234	0.7097967623
235	0.709490641
236	0.7091469475
237	0.7089130399
238	0.7085174217
239	0.7081007465
240	0.7076640205
241	0.707171903
242	0.7069236873
243	0.7064841505
244	0.7060303008
245	0.705564294
246	0.7052753108
247	0.7047540448
248	0.7043944671
249	0.7040850241
250	0.7038002756
251	0.7031850074
252	0.7028329429
253	0.7024894866
254	0.7020050031
255	0.7015349572
256	0.7011730715
257	0.7009065309
258	0.7004489511
259	0.6999710859
260	0.699663089
261	0.6995390855
262	0.699307331
263	0.6989307435
264	0.6986631176
265	0.6984035008
266	0.6982379699
267	0.697941414
268	0.6975959025
269	0.6973338788
270	0.6971129938
271	0.6968722063
272	0.6966116531
273	0.6961104234
274	0.6958541178
275	0.6956621311
276	0.6954686149
277	0.6951352422
278	0.6947498652
279	0.6944256151
280	0.6941260955
281	0.693631029
282	0.6933506323
283	0.6930607167
284	0.6927102378
285	0.692435178
286	0.6921957846
287	0.6919043016
288	0.6915874326
289	0.6912020639
290	0.6909507272
291	0.6907327171
292	0.6904319737
293	0.6901368852
294	0.6899022235
295	0.6896479548
296	0.6894390886
297	0.6892258568
298	0.6889580622
299	0.6886397265
300	0.6883734177
301	0.6880968771
302	0.6874939285
303	0.6871067906
304	0.6866546008
305	0.6863909866
306	0.6861582506
307	0.685777288
308	0.6855747288
309	0.6853313987
310	0.685072462
311	0.6848643814
312	0.6845753915
313	0.6843686285
314	0.6841172521
315	0.6837749972
316	0.683412227
317	0.6832311514
318	0.683001108
319	0.6827206091
320	0.6823324395
321	0.6820585476
322	0.6817309504
323	0.681378486
324	0.6811034107
325	0.6807827557
326	0.6804840005
327	0.6801971768
328	0.6799820024
329	0.67964266
330	0.6794103882
331	0.6791789702
332	0.6788529952
333	0.6786170709
334	0.6783530299
335	0.6780195445
336	0.6777026838
337	0.6774741993
338	0.6772116589
339	0.6770075151
340	0.6767983878
341	0.6764469961
342	0.6761613787
343	0.6758887237
344	0.6755147438
345	0.6753366081
346	0.675152295
347	0.6748077207
348	0.6746034905
349	0.6743499433
350	0.6740721911
351	0.6739076953
352	0.6735147834
353	0.6732204309
354	0.672833046
355	0.6726608493
356	0.6723518304
357	0.6721821122
358	0.6718438558
359	0.6716622242
360	0.6714249488
361	0.6712153106
362	0.6709079251
363	0.6706992247
364	0.6704536489
365	0.6701587549
366	0.6699052366
367	0.6696310155
368	0.6692555902
369	0.6690922738
370	0.6688634609
371	0.6686093607
372	0.6682816025
373	0.6679154527
374	0.6675142538
375	0.6672257283
376	0.6669496143
377	0.6667214605
378	0.6664975067
379	0.6662392204
380	0.6660969926
381	0.665751368
382	0.6653663066
383	0.6650853625
384	0.6648254341
385	0.6645058231
386	0.6642370358
387	0.6639121742
388	0.6635201153
389	0.6631664443
390	0.6630120597
391	0.6626073665
392	0.6623367364
393	0.6619694706
394	0.6616063787
395	0.6613260006
396	0.6610331714
397	0.6607672482
398	0.6603043305
399	0.6600430211
400	0.6597813266
401	0.659516752
402	0.6592230385
403	0.6590598492
404	0.6588428381
405	0.6585437866
406	0.6581634536
407	0.6578132481
408	0.6575336014
409	0.6572015751
410	0.6568873635
411	0.6566040164
412	0.656383465
413	0.6560676987
414	0.6557277956
415	0.6555529018
416	0.655095914
417	0.6548628604
418	0.6545494082
419	0.6541619591
420	0.6538777834
421	0.6537354102
422	0.6533421169
423	0.653014936
424	0.6528181088
425	0.6524837192
426	0.652275307
427	0.6520537919
428	0.6517696187
429	0.6516075995
430	0.6513389183
431	0.6509852291
432	0.6508158825
433	0.6506511361
434	0.6504604868
435	0.6502812621
436	0.6500457328
437	0.6498980698
438	0.649796832
439	0.6495365351
440	0.6492967956
441	0.6490637477
442	0.6488990782
443	0.64857488
444	0.6482663161
445	0.6480886767
446	0.6479122746
447	0.6477289222
448	0.6474601783
449	0.6470853209
450	0.6467800401
451	0.6466278691
452	0.6462656938
453	0.6460365813
454	0.6457967218
455	0.6453915563
456	0.6450547509
457	0.6446089306
458	0.6443936564
459	0.6442612956
460	0.643919109
461	0.6436891637
462	0.6434069894
463	0.6431804211
464	0.6429181949
465	0.6427161871
466	0.6425088156
467	0.6422663893
468	0.6420753958
469	0.6419222282
470	0.6416785374
471	0.641431213
472	0.6412957522
473	0.6410822803
474	0.6407296973
475	0.6406117516
476	0.6404072669
477	0.6402668818
478	0.640044304
479	0.6398075162
480	0.6396561183
481	0.6393849418
482	0.6390854952
483	0.6388616236
484	0.6386013823
485	0.6383595841
486	0.6380974264
487	0.637938251
488	0.6377850001
489	0.6375650145
490	0.6373116688
491	0.6370861678
492	0.6368233826
493	0.6366083371
494	0.6363836777
495	0.6361334638
496	0.6359530643
497	0.6357300377
498	0.6355478048
499	0.6352213797
500	0.6348034556
501	0.634604769
502	0.6343799895
503	0.6342545819
504	0.6340176019
505	0.6337386334
506	0.6335516817
507	0.6333507138
508	0.6330587697
509	0.6327823528
510	0.6325999314
511	0.6323504729
512	0.6320228011
513	0.6317619337
514	0.6314351849
515	0.63122366
516	0.6310269225
517	0.6306589948
518	0.6305338225
519	0.6303180951
520	0.6299909514
521	0.6297591026
522	0.6294701787
523	0.6292520204
524	0.629081041
525	0.6288270148
526	0.6285424202
527	0.6284061059
528	0.6282592
529	0.6279781891
530	0.6277493257
531	0.6274480941
532	0.62729906
533	0.6270933445
534	0.6268670934
535	0.6266201164
536	0.6263947838
537	0.6261516234
538	0.6258728833
539	0.6256841033
540	0.6254588032
541	0.6251644928
542	0.6248520633
543	0.6247378546
544	0.6245462988
545	0.6242939093
546	0.6241492288
547	0.6240121936
548	0.6238069782
549	0.6236451152
550	0.6233579893
551	0.6231476296
552	0.6229635278
553	0.6228292212
554	0.6225397842
555	0.6222836963
556	0.6219992439
557	0.6218682136
558	0.6215660775
559	0.6214396511
560	0.6211459724
561	0.6210326456
562	0.6207851173
563	0.6206573515
564	0.6204476229
565	0.6202195707
566	0.6200239714
567	0.6197479055
568	0.6194196893
569	0.6192855945
570	0.6190971809
571	0.6189083848
572	0.6185930337
573	0.6184277164
574	0.6182591645
575	0.6180962553
576	0.6177696417
577	0.6175378843
578	0.6172643732
579	0.6169737154
580	0.6167618499
581	0.6166286849
582	0.6164625429
583	0.6162496529
584	0.6160320586
585	0.6157484918
586	0.6155515354
587	0.6154339325
588	0.6151258445
589	0.6149293914
590	0.6146297336
591	0.6143801807
592	0.6141708605
593	0.6138207875
594	0.6136034725
595	0.6133070177
596	0.6131590583
597	0.6128866627
598	0.6126107403
599	0.6123283001
600	0.6120284321
601	0.6117233916
602	0.6114959595
603	0.6113267392
604	0.6112398416
605	0.6110537151
606	0.6108181463
607	0.6106314761
608	0.6105595424
609	0.610255896
610	0.6099978478
611	0.6097894552
612	0.6095657029
613	0.6093243875
614	0.6090518279
615	0.6088815327
616	0.6086919954
617	0.6084759933
618	0.6081808629
619	0.6080276342
620	0.607780722
621	0.6076450703
622	0.6074323331
623	0.607229312
624	0.6071033015
625	0.6068346396
626	0.6065907703
627	0.6064941785
628	0.6063179943
629	0.6062196347
630	0.6060750015
631	0.6058000472
632	0.6056029709
633	0.6053192316
634	0.6050947945
635	0.6048888496
636	0.6047726333
637	0.6045614259
638	0.6043362983
639	0.6041873104
640	0.603898244
641	0.6036087463
642	0.6034339374
643	0.6032328287
644	0.6030052607
645	0.6026955202
646	0.6025238328
647	0.6023535033
648	0.6021745608
649	0.6019773398
650	0.6017659084
651	0.6016055211
652	0.6015175695
653	0.6011519905
654	0.6008399083
655	0.6006842665
656	0.6004888989
657	0.6003094039
658	0.6000327703
659	0.5998507072
660	0.5996877105
661	0.5995578634
662	0.5993921236
663	0.5990950784
664	0.5988542715
665	0.5986961523
666	0.5984364184
667	0.5982278616
668	0.5980605497
669	0.597857453
670	0.5977496481
671	0.5975115799
672	0.5973613654
673	0.5971361211
674	0.5968974557
675	0.5966650884
676	0.5965484592
677	0.5963459502
678	0.5961795287
679	0.5959747702
680	0.5958007246
681	0.5955750982
682	0.5953814434
683	0.5951486598
684	0.594939492
685	0.594775796
686	0.5945956981
687	0.5943698851
688	0.5941893675
689	0.5939800111
690	0.5937653972
691	0.5936300978
692	0.5934692387
693	0.5933309316
694	0.5931124211
695	0.5928953742
696	0.5927277465
697	0.5924814728
698	0.5923558226
699	0.5922245289
700	0.5920990749
701	0.5919007858
702	0.5917776668
703	0.59162223
704	0.591342282
705	0.5911349763
706	0.5909296928
707	0.5907486416
708	0.5905570137
709	0.5903124328
710	0.5901113761
711	0.5899673953
712	0.5897727748
713	0.5895345166
714	0.5894042493
715	0.5892464986
716	0.5890330354
717	0.5888896344
718	0.5887100256
719	0.588421282
720	0.5883130889
721	0.5880671007
722	0.5879010751
723	0.5877574726
724	0.5875263262
725	0.5873444605
726	0.5869881869
727	0.5867139384
728	0.5865869285
729	0.5864428314
730	0.5862227854
731	0.5860555869
732	0.5858699567
733	0.5856984131
734	0.5853837858
735	0.585183233
736	0.5848712306
737	0.5847090142
738	0.5845191673
739	0.5841855437
740	0.5840370717
741	0.5838207266
742	0.5836440498
743	0.5834475606
744	0.5831428944
745	0.582859098
746	0.5825893253
747	0.5823780987
748	0.5822006658
749	0.5820898729
750	0.5818389083
751	0.58167692
752	0.5814450822
753	0.5812775743
754	0.5810367509
755	0.5808309908
756	0.5806400139
757	0.5803180143
758	0.5800885552
759	0.5798117014
760	0.5796396774
761	0.5793902001
762	0.5792127704
763	0.5790692808
764	0.5788996619
765	0.5786536544
766	0.5785406369
767	0.578295935
768	0.5781275744
769	0.5779855978
770	0.5777978976
771	0.577666993
772	0.5774424037
773	0.5771816563
774	0.5769778492
775	0.5767873584
776	0.5766144161
777	0.5763105729
778	0.576149211
779	0.5759949592
780	0.575751724
781	0.5755507104
782	0.5752891576
783	0.5751061265
784	0.5748969949
785	0.5746917473
786	0.5744373817
787	0.5742631994
788	0.5740025573
789	0.5738700511
790	0.5737822142
791	0.5735093515
792	0.5733112912
793	0.5731301591
794	0.5730278395
795	0.5728620914
796	0.5727247709
797	0.5724926011
798	0.5722671374
799	0.5720379327
800	0.57184723
801	0.5716987326
802	0.5715801389
803	0.5712982228
804	0.5711347234
805	0.5709829495
806	0.5706822534
807	0.5704783265
808	0.5703051499
809	0.5701636564
810	0.5700016505
811	0.5698792627
812	0.5697233801
813	0.5696253907
814	0.5694345643
815	0.5692430713
816	0.5690446112
817	0.5689530072
818	0.5688196689
819	0.5686381331
820	0.5684854946
821	0.5683409978
822	0.5682450942
823	0.5681605825
824	0.5680226801
825	0.5678552643
826	0.5677419393
827	0.5674818552
828	0.5673534156
829	0.5671186959
830	0.5668747061
831	0.5666560257
832	0.5665808921
833	0.5664103726
834	0.566206421
835	0.565996528
836	0.5657130074
837	0.5654853388
838	0.5652304771
839	0.5650811242
840	0.5648951297
841	0.5647386882
842	0.5646277878
843	0.5643300277
844	0.5640971815
845	0.5639967118
846	0.5637386367
847	0.5635119505
848	0.5634438525
849	0.5631294301
850	0.5630074174
851	0.5628422436
852	0.5626409903
853	0.5625119325
854	0.5623977822
855	0.562170121
856	0.5619555936
857	0.5618514116
858	0.5616435954
859	0.5614756371
860	0.5612748756
861	0.5611541956
862	0.5609342411
863	0.5606231072
864	0.5603748938
865	0.5601510487
866	0.5599260524
867	0.5596422838
868	0.5594044171
869	0.5592503074
870	0.5590266849
871	0.5588218357
872	0.5586341361
873	0.5584595643
874	0.5582779363
875	0.5580623357
876	0.5579847597
877	0.5577951259
878	0.5576639033
879	0.5574564122
880	0.5572779785
881	0.5570934742
882	0.5568191954
883	0.5565854255
884	0.5563502218
885	0.5562068759
886	0.5560637453
887	0.5559040406
888	0.5557471204
889	0.5556545999
890	0.5554034761
891	0.5552211259
892	0.5550428439
893	0.5548867358
894	0.5547386639
895	0.5545471292
896	0.5544775822
897	0.5543815152
898	0.5542111899
899	0.554088008
900	0.5538984381
901	0.5537235684
902	0.5535370365
903	0.5533619385
904	0.5532445983
905	0.553114482
906	0.5529575921
907	0.5528062505
908	0.5526314466
909	0.5524060473
910	0.5522783137
911	0.552118914
912	0.5519906328
913	0.5517100169
