iter	Passed	Remaining
0	64	64452
1	71	35565
2	76	25522
3	82	20505
4	87	17475
5	93	15463
6	99	14050
7	104	12977
8	110	12156
9	116	11508
10	121	10945
11	127	10467
12	132	10061
13	138	9728
14	143	9430
15	148	9161
16	154	8942
17	160	8746
18	165	8562
19	171	8402
20	177	8259
21	182	8131
22	188	8005
23	194	7909
24	200	7812
25	206	7720
26	211	7636
27	217	7549
28	223	7481
29	228	7400
30	234	7326
31	239	7257
32	245	7187
33	250	7123
34	256	7062
35	261	7000
36	266	6943
37	272	6901
38	278	6851
39	283	6805
40	289	6761
41	294	6717
42	299	6673
43	305	6634
44	310	6591
45	315	6552
46	321	6521
47	327	6494
48	333	6472
49	339	6445
50	344	6417
51	350	6394
52	356	6362
53	361	6333
54	366	6302
55	372	6279
56	378	6253
57	383	6230
58	389	6205
59	394	6184
60	400	6160
61	405	6134
62	410	6108
63	415	6083
64	421	6067
65	427	6044
66	432	6023
67	437	6001
68	443	5979
69	448	5958
70	454	5941
71	459	5922
72	464	5903
73	470	5885
74	475	5867
75	481	5851
76	486	5831
77	492	5815
78	497	5799
79	503	5786
80	508	5772
81	514	5756
82	519	5736
83	524	5723
84	530	5707
85	535	5693
86	541	5679
87	546	5664
88	552	5653
89	558	5645
90	563	5633
91	569	5623
92	575	5611
93	580	5597
94	586	5585
95	591	5573
96	597	5560
97	603	5552
98	608	5540
99	614	5529
100	619	5517
101	625	5505
102	631	5498
103	637	5492
104	643	5484
105	649	5476
106	655	5471
107	661	5462
108	667	5453
109	674	5454
110	680	5446
111	686	5444
112	692	5436
113	698	5429
114	705	5432
115	712	5427
116	719	5426
117	725	5421
118	732	5420
119	738	5414
120	745	5415
121	751	5409
122	759	5412
123	764	5402
124	770	5392
125	775	5381
126	781	5371
127	786	5360
128	792	5351
129	798	5341
130	803	5333
131	809	5321
132	814	5311
133	820	5302
134	826	5294
135	832	5286
136	837	5278
137	843	5271
138	849	5262
139	854	5251
140	860	5242
141	866	5233
142	871	5223
143	877	5216
144	883	5208
145	888	5199
146	894	5188
147	899	5179
148	905	5172
149	911	5164
150	917	5159
151	923	5151
152	929	5143
153	934	5134
154	940	5125
155	945	5117
156	951	5109
157	957	5101
158	962	5092
159	968	5084
160	974	5076
161	979	5068
162	985	5059
163	990	5050
164	996	5042
165	1001	5033
166	1007	5025
167	1013	5017
168	1018	5010
169	1024	5001
170	1030	4994
171	1035	4986
172	1041	4977
173	1047	4973
174	1053	4966
175	1058	4957
176	1064	4950
177	1070	4942
178	1075	4934
179	1081	4925
180	1086	4916
181	1092	4908
182	1097	4901
183	1103	4893
184	1108	4885
185	1114	4878
186	1120	4869
187	1125	4861
188	1131	4854
189	1136	4845
190	1142	4837
191	1148	4831
192	1154	4826
193	1161	4824
194	1167	4821
195	1174	4817
196	1181	4814
197	1187	4808
198	1193	4803
199	1199	4798
200	1205	4793
201	1212	4788
202	1217	4781
203	1224	4776
204	1230	4770
205	1235	4763
206	1241	4757
207	1248	4752
208	1254	4747
209	1260	4741
210	1265	4732
211	1271	4725
212	1277	4718
213	1282	4711
214	1288	4704
215	1294	4697
216	1300	4690
217	1305	4684
