,gender,Annual_income,income_type,Education,family_type,house_type,DAYS_BIRTH,working_day,work_phone,phone,email,occyp_type,begin_month,car_reality,credit
11004,F,31500.0,0,4,Married,House / apartment,-17762,-7734,1,1,0,Cleaning staff,-34.0,1,1.0
14835,F,31500.0,0,4,Married,House / apartment,-17762,-7734,1,1,0,Cleaning staff,-34.0,1,0.0
17897,F,31500.0,0,4,Married,House / apartment,-17762,-7734,1,1,0,Cleaning staff,-20.0,1,1.0
6274,F,33300.0,1,4,Married,Office apartment,-19605,0,0,0,0,none,-41.0,0,2.0
23988,F,33300.0,1,4,Married,Office apartment,-19605,0,0,0,0,none,-41.0,0,2.0
3299,F,38025.0,1,4,Married,House / apartment,-20969,0,0,1,0,none,-59.0,1,2.0
24641,F,38250.0,1,1,Married,House / apartment,-23379,0,0,1,0,none,-25.0,1,1.0
17430,F,40500.0,1,3,Married,House / apartment,-23933,0,0,0,0,none,-9.0,1,1.0
18810,F,40500.0,1,4,Married,House / apartment,-21177,0,0,0,0,none,-33.0,1,2.0
21937,F,45000.0,1,4,Married,House / apartment,-20458,0,0,1,0,none,-42.0,1,2.0
25133,F,45000.0,2,4,Married,House / apartment,-11304,-3998,1,1,0,Medicine staff,-45.0,0,0.0
14763,F,45000.0,4,4,Married,House / apartment,-17370,-8443,1,1,0,none,-11.0,1,2.0
25176,F,45000.0,4,4,Married,House / apartment,-12311,-3969,0,0,0,none,-48.0,0,2.0
13269,F,47250.0,1,4,Married,Municipal apartment,-21414,0,0,1,0,none,-51.0,1,2.0
10013,F,49500.0,1,1,Married,Municipal apartment,-21157,0,0,0,0,none,-11.0,0,0.0
19968,F,49500.0,1,1,Married,Municipal apartment,-21157,0,0,0,0,none,-11.0,0,2.0
18440,F,49500.0,1,4,Married,House / apartment,-22993,0,0,1,0,none,-57.0,1,1.0
18358,F,49500.0,1,4,Widow,House / apartment,-23871,0,0,0,0,none,-45.0,0,1.0
20491,F,54000.0,1,4,Married,House / apartment,-24044,0,0,1,0,none,-36.0,1,2.0
19416,F,54000.0,4,1,Married,House / apartment,-14923,-4723,1,0,0,Medicine staff,-31.0,0,1.0
23878,F,54000.0,4,4,Married,House / apartment,-16816,-322,0,0,0,none,-26.0,2,2.0
7678,F,54000.0,4,4,Married,House / apartment,-9905,-795,0,0,0,Sales staff,-14.0,1,2.0
10049,F,56250.0,1,4,Married,House / apartment,-21342,0,0,0,0,none,-48.0,1,2.0
21400,F,56250.0,1,4,Married,Office apartment,-21882,0,0,0,0,none,-17.0,0,2.0
23940,F,56700.0,1,4,Married,House / apartment,-20696,0,0,0,0,none,-17.0,1,2.0
13350,F,58500.0,1,4,Married,House / apartment,-24473,0,0,1,0,none,-47.0,1,2.0
20460,F,58500.0,1,4,Married,House / apartment,-20315,0,0,0,0,none,-18.0,1,2.0
16429,F,58500.0,4,4,Married,House / apartment,-15544,-4946,0,0,1,Laborers,-1.0,1,0.0
24332,F,60750.0,0,1,Married,House / apartment,-10687,-1981,1,1,0,Core staff,-58.0,1,0.0
8727,F,60750.0,0,1,Married,House / apartment,-10687,-1981,1,1,0,Core staff,-1.0,1,0.0
4204,F,60750.0,4,4,Widow,House / apartment,-18544,-2073,0,0,0,none,-39.0,1,0.0
24192,F,62653.5,4,4,Separated,House / apartment,-19658,-320,1,1,0,Sales staff,-28.0,1,0.0
10969,F,63000.0,2,4,Civil marriage,House / apartment,-19708,-7500,0,0,0,Cooking staff,-33.0,1,2.0
24882,F,63000.0,4,4,Civil marriage,House / apartment,-13669,-1261,1,1,0,Sales staff,-24.0,2,1.0
21276,F,63000.0,4,4,Married,House / apartment,-19896,-1574,1,0,0,High skill tech staff,-24.0,1,1.0
22668,F,63000.0,4,4,Single / not married,Municipal apartment,-16817,-4618,0,0,0,Cleaning staff,-7.0,0,2.0
16078,F,67500.0,0,1,Married,House / apartment,-11113,-410,0,0,0,Sales staff,-44.0,0,2.0
22692,F,67500.0,0,4,Civil marriage,House / apartment,-9323,-1346,0,0,0,none,-33.0,0,2.0
7978,F,67500.0,0,4,Married,House / apartment,-16694,-412,1,1,0,Sales staff,-52.0,1,1.0
16039,F,67500.0,0,4,Married,House / apartment,-16694,-412,1,1,0,Sales staff,-31.0,1,1.0
17049,F,67500.0,0,4,Married,House / apartment,-11909,-3553,0,0,1,none,-57.0,2,2.0
19537,F,67500.0,0,4,Married,House / apartment,-11909,-3553,0,0,1,none,-8.0,2,2.0
22578,F,67500.0,1,1,Married,House / apartment,-22212,0,0,0,0,none,-16.0,1,1.0
23527,F,67500.0,1,4,Married,House / apartment,-23097,0,0,0,0,none,-10.0,1,2.0
25922,F,67500.0,1,4,Married,House / apartment,-22682,0,0,0,0,none,-51.0,0,0.0
14596,F,67500.0,1,4,Married,House / apartment,-22682,0,0,0,0,none,-24.0,0,0.0
20443,F,67500.0,1,4,Married,House / apartment,-20991,0,0,1,0,none,-12.0,1,2.0
15185,F,67500.0,1,4,Married,House / apartment,-20900,0,0,1,0,none,-21.0,1,1.0
17928,F,67500.0,1,4,Married,House / apartment,-20900,0,0,1,0,none,-21.0,1,1.0
26325,F,67500.0,1,4,Married,House / apartment,-19549,0,0,0,0,none,-44.0,1,2.0
24004,F,67500.0,1,4,Single / not married,House / apartment,-22611,0,0,1,0,none,-51.0,1,0.0
21167,F,67500.0,2,4,Married,House / apartment,-19818,-11398,0,0,0,none,-44.0,1,2.0
19516,F,67500.0,2,4,Married,House / apartment,-18150,-2747,0,0,0,Medicine staff,-45.0,1,2.0
10073,F,67500.0,2,4,Married,House / apartment,-15151,-1162,0,0,0,Core staff,-58.0,1,2.0
16788,F,67500.0,2,4,Married,House / apartment,-15151,-1162,0,0,0,Core staff,-2.0,1,1.0
24245,F,67500.0,4,1,Married,House / apartment,-14240,-1586,0,0,0,Core staff,-39.0,1,2.0
23742,F,67500.0,4,1,Married,House / apartment,-12281,-1508,0,0,1,none,-32.0,1,2.0
25939,F,67500.0,4,1,Married,House / apartment,-12281,-1508,0,0,1,none,-10.0,1,0.0
23745,F,67500.0,4,1,Married,House / apartment,-11140,-991,0,0,0,Managers,-10.0,1,0.0
26229,F,67500.0,4,4,Civil marriage,House / apartment,-13766,-3817,1,0,0,none,-31.0,0,1.0
25407,F,67500.0,4,4,Civil marriage,House / apartment,-12101,-1009,1,0,0,Core staff,-12.0,1,0.0
20245,F,67500.0,4,4,Married,House / apartment,-19620,-2196,0,0,0,Core staff,-48.0,1,0.0
21311,F,67500.0,4,4,Married,House / apartment,-19620,-2196,0,0,0,Core staff,-48.0,1,2.0
6788,F,67500.0,4,4,Married,House / apartment,-19368,-1252,1,0,0,none,-33.0,0,2.0
7161,F,67500.0,4,4,Married,House / apartment,-19368,-1252,1,0,0,none,-33.0,0,1.0
26091,F,67500.0,4,4,Married,House / apartment,-19368,-1252,1,0,0,none,-8.0,0,2.0
15910,F,67500.0,4,4,Married,House / apartment,-18549,-1160,1,0,0,none,-5.0,0,2.0
20889,F,67500.0,4,4,Married,House / apartment,-18549,-1160,1,0,0,none,-5.0,0,0.0
11062,F,67500.0,4,4,Married,House / apartment,-15161,-2087,1,0,0,Sales staff,-47.0,0,2.0
12054,F,67500.0,4,4,Married,House / apartment,-15161,-2087,1,0,0,Sales staff,-47.0,0,0.0
24636,F,67500.0,4,4,Married,House / apartment,-15161,-2087,1,0,0,Sales staff,-47.0,0,0.0
18030,F,67500.0,4,4,Married,House / apartment,-12821,-931,0,1,1,Laborers,-36.0,2,2.0
25755,F,67500.0,4,4,Married,House / apartment,-12226,-596,0,0,0,Sales staff,-12.0,1,1.0
20608,F,67500.0,4,4,Married,House / apartment,-11256,-362,0,1,0,Sales staff,-6.0,0,2.0
10377,F,67500.0,4,4,Separated,House / apartment,-13868,-3008,1,0,0,Sales staff,-12.0,1,2.0
14552,F,67500.0,4,4,Single / not married,House / apartment,-20037,-4929,0,1,0,Laborers,-13.0,0,2.0
21754,F,67500.0,4,4,Single / not married,House / apartment,-8661,-500,1,0,0,Sales staff,-6.0,0,1.0
13486,F,72000.0,1,4,Married,House / apartment,-22527,0,0,0,0,none,-52.0,0,2.0
26432,F,72000.0,1,4,Married,House / apartment,-22314,0,0,1,0,none,-17.0,2,1.0
20431,F,72000.0,1,4,Married,House / apartment,-22314,0,0,1,0,none,-5.0,2,1.0
23047,F,72000.0,1,4,Married,House / apartment,-22179,0,0,0,0,none,-29.0,1,2.0
24868,F,72000.0,1,4,Married,House / apartment,-21908,0,0,0,0,none,-18.0,1,2.0
14094,F,72000.0,1,4,Married,House / apartment,-21908,0,0,0,0,none,-11.0,1,2.0
25105,F,72000.0,1,4,Married,House / apartment,-18514,0,0,0,0,none,-6.0,1,2.0
